"time","name","x","y","direction","nextX","nextY","nextDirection"
"2.56","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.2162","1.306824","283.83206"
"2.56","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3982317","0.9848836","220.59982"
"2.58","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.2065163","1.309319","284.44806"
"2.58","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3915405","0.97745216","221.99982"
"2.6","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1968253","1.3117857","284.28006"
"2.6","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3846698","0.9701864","223.39981"
"2.62","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1871402","1.314276","284.42007"
"2.62","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3776236","0.96309066","224.7998"
"2.6399999","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1774638","1.3167994","284.6161"
"2.6399999","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.370406","0.9561692","226.1998"
"2.66","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1677775","1.3192849","284.3921"
"2.66","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3630214","0.9494261","227.5998"
"2.68","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1580951","1.3217847","284.4761"
"2.68","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3554742","0.9428655","228.99979"
"2.7","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1484199","1.3243129","284.6441"
"2.7","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.347769","0.9364912","230.39978"
"2.72","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1387596","1.3268977","284.9801"
"2.72","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3399105","0.9303071","231.79977"
"2.74","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1291173","1.3295486","285.3721"
"2.74","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3319032","0.9243168","233.19977"
"2.76","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1194634","1.332157","285.1201"
"2.76","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.323752","0.91852397","234.59976"
"2.78","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1098096","1.3347654","285.1201"
"2.78","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.3154616","0.912932","235.99976"
"2.8","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.1001585","1.3373833","285.1761"
"2.8","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.307037","0.90754426","237.39975"
"2.82","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.0905175","1.3400389","285.4001"
"2.82","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2984836","0.90236396","238.79974"
"2.84","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.0808702","1.3426709","285.26007"
"2.84","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.289806","0.8973942","240.19974"
"2.8600001","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.071224","1.3453076","285.2881"
"2.8600001","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2810094","0.8926379","241.59973"
"2.88","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.061583","1.3479632","285.4001"
"2.88","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2720995","0.88809794","242.99973"
"2.9","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.051963","1.3506941","285.84808"
